t_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,M1_open,M2_open,M3_open
12660,5.42,97.0,5.42,92.3,1,0,1
12720,5.43,97.0,5.43,92.4,1,0,1
12780,5.45,97.0,5.45,92.4,1,0,1
12840,5.47,97.1,5.47,92.4,1,0,1
12900,5.48,97.1,5.48,92.5,1,0,1
12960,5.50,97.1,5.50,92.5,1,0,1
13020,5.52,97.1,5.52,92.5,1,0,1
13080,5.53,97.2,5.53,92.6,1,0,1
13140,5.55,97.2,5.55,92.6,1,0,1
13200,5.57,97.2,5.57,92.6,1,0,1
13260,5.58,97.2,5.58,92.7,1,0,1
13320,5.60,97.3,5.60,92.7,1,0,1
13380,5.62,97.3,5.62,92.7,1,0,1
13440,5.63,97.3,5.63,92.8,1,0,1
13500,5.65,97.4,5.65,92.8,1,0,1
13560,5.67,97.4,5.67,92.8,1,0,1
13620,5.68,97.4,5.68,92.9,1,0,1
13680,5.70,97.4,5.70,92.9,1,0,1
13740,5.72,97.5,5.72,92.9,1,0,1
13800,5.73,97.5,5.73,93.0,1,0,1
13860,5.75,97.5,5.75,93.0,1,0,1
13920,5.77,97.6,5.77,93.0,1,0,1
13980,5.78,97.6,5.78,93.1,1,0,1
14040,5.80,97.6,5.80,93.1,1,0,1
14100,5.82,97.6,5.82,93.1,1,0,1
14160,5.83,97.7,5.83,93.2,1,0,1
14220,5.85,97.7,5.85,93.2,1,0,1
14280,5.87,97.7,5.87,93.2,1,0,1
14340,5.88,97.8,5.88,93.3,1,0,1
14400,5.90,97.8,5.90,93.3,1,0,1
14460,5.99,97.8,5.99,93.3,1,0,1
14520,6.07,97.8,6.07,93.4,1,0,1
14580,6.16,97.8,6.16,93.4,1,0,1
14640,6.25,97.8,6.25,93.4,1,0,1
14700,6.33,97.8,6.33,93.5,1,0,1
14760,6.42,97.8,6.42,93.5,1,0,1
14820,6.51,97.8,6.51,93.5,1,0,1
14880,6.59,97.8,6.59,93.5,1,0,1
14940,6.68,97.8,6.68,93.6,1,0,1
15000,6.77,97.8,6.77,93.6,1,0,1
15060,6.85,97.8,6.85,93.6,1,0,1
15120,6.94,97.8,6.94,93.7,1,0,1
15180,7.03,97.8,7.03,93.7,1,0,1
15240,7.11,97.8,7.11,93.7,1,0,1
15300,7.20,97.8,7.20,93.8,1,0,1
15360,7.29,97.8,7.29,93.8,1,0,1
15420,7.37,97.9,7.37,93.8,1,0,1
15480,7.46,97.9,7.46,93.8,1,0,1
15540,7.55,97.9,7.55,93.9,1,0,1
15600,7.63,97.9,7.63,93.9,1,0,1
15660,7.72,97.9,7.72,93.9,1,0,1
15720,7.81,97.9,7.81,94.0,1,0,1
15780,7.89,97.9,7.89,94.0,1,0,1
15840,7.98,97.9,7.98,94.0,1,0,1
15900,8.07,97.9,8.07,94.0,1,0,1
15960,8.15,97.9,8.15,94.1,1,0,1
16020,8.24,97.9,8.24,94.1,1,0,1
16080,8.33,97.9,8.33,94.1,1,0,1
16140,8.41,97.9,8.41,94.2,1,0,1
16200,8.50,97.9,8.50,94.2,1,0,1
16260,8.54,97.9,8.54,94.2,1,0,1
16320,8.58,97.8,8.58,94.1,1,0,1
16380,8.62,97.8,8.62,94.1,1,0,1
16440,8.66,97.7,8.66,94.0,1,0,1
16500,8.70,97.7,8.70,94.0,1,0,1
16560,8.74,97.6,8.74,94.0,1,0,1
16620,8.78,97.6,8.78,93.9,1,0,1
16680,8.82,97.5,8.82,93.9,1,0,1
16740,8.86,97.5,8.86,93.8,1,0,1
16800,8.90,97.4,8.90,93.8,1,0,1
16860,8.94,97.4,8.94,93.8,1,0,1
16920,8.98,97.3,8.98,93.7,1,0,1
16980,9.02,97.3,9.02,93.7,1,0,1
17040,9.06,97.2,9.06,93.6,1,0,1
17100,9.10,97.2,9.10,93.6,1,0,1
17160,9.14,97.1,9.14,93.6,1,0,1
17220,9.18,97.1,9.18,93.5,1,0,1
17280,9.22,97.0,9.22,93.5,1,0,1
17340,9.26,97.0,9.26,93.4,1,0,1
17400,9.30,96.9,9.30,93.4,1,0,1
17460,9.33,96.9,9.33,93.4,1,0,1
17520,9.37,96.8,9.37,93.3,1,0,1
17580,9.41,96.8,9.41,93.3,1,0,1
17640,9.45,96.8,9.45,93.2,1,0,1
17700,9.49,96.7,9.49,93.2,1,0,1
17760,9.53,96.7,9.53,93.2,1,0,1
17820,9.57,96.6,9.57,93.1,1,0,1
17880,9.61,96.6,9.61,93.1,1,0,1
17940,9.65,96.5,9.65,93.0,1,0,1
18000,9.69,96.5,9.69,93.0,1,0,1
18060,9.85,96.2,9.85,92.8,1,0,1
18120,10.03,95.9,10.03,92.5,1,0,1
18180,10.21,95.6,10.21,92.3,1,0,1
18240,10.39,95.3,10.39,92.0,1,0,1
18300,10.57,95.0,10.57,91.7,1,0,1
18360,10.75,94.7,10.75,91.5,1,0,1
18420,10.93,94.4,10.93,91.2,1,0,1
18480,11.12,94.1,11.12,90.9,1,0,1
18540,11.30,93.8,11.30,90.7,1,0,1
18600,11.48,93.5,11.48,90.4,1,0,1
18660,11.66,93.2,11.66,90.1,1,0,1
18720,11.84,92.9,11.84,89.9,1,0,1
18780,12.02,92.6,12.02,89.6,1,0,1
18840,12.20,92.3,12.20,89.3,1,0,1
18900,12.38,92.0,12.38,89.1,1,0,1
18960,12.56,91.7,12.56,88.8,1,0,1
19020,12.75,91.4,12.75,88.5,1,0,1
19080,12.93,91.1,12.93,88.3,1,0,1
19140,13.11,90.8,13.11,88.0,1,0,1
19200,13.29,90.5,13.29,87.7,1,0,1
19260,13.47,90.2,13.47,87.5,1,0,1
19320,13.65,89.9,13.65,87.2,1,0,1
19380,13.83,89.6,13.83,87.0,1,0,1
19440,14.01,89.3,14.01,86.7,1,0,1
19500,14.19,100.0,14.19,86.4,1,0,0
19560,14.38,100.0,14.38,86.2,1,0,0
19620,14.56,100.0,14.56,85.9,1,0,0
19680,14.74,99.7,14.74,85.6,1,0,0
19740,14.92,99.3,14.92,85.4,1,0,0
19800,15.10,98.8,15.10,85.1,1,0,0
19860,15.23,98.2,15.23,84.6,1,0,0
19920,15.36,97.6,15.36,84.1,1,0,0
19980,15.49,97.0,15.49,83.7,1,0,0
20040,15.62,96.4,15.62,83.2,1,0,0
20100,15.75,95.9,15.75,82.7,1,0,0
20160,15.88,95.3,15.88,82.2,1,0,0
20220,16.01,94.7,16.01,81.7,1,0,0
20280,16.14,83.5,16.14,81.3,1,0,1
20340,16.27,83.4,16.27,80.8,0,0,1
20400,16.40,82.9,16.40,80.3,0,0,1
20460,16.53,82.4,16.53,79.8,0,0,1
20520,16.66,81.9,16.66,79.3,0,0,1
20580,16.79,81.4,16.79,78.9,0,0,1
20640,16.92,80.9,16.92,78.4,0,0,1
20700,17.05,80.4,17.05,77.9,0,0,1
20760,17.18,79.9,17.18,77.4,0,0,1
20820,17.31,79.4,17.31,76.9,0,0,1
20880,17.44,78.9,17.44,76.5,0,0,1
20940,17.57,78.4,17.57,76.0,0,0,1
21000,17.70,77.9,17.70,75.5,0,0,1
21060,17.83,100.0,17.83,75.0,0,0,0
21120,17.96,85.9,17.96,74.5,1,0,0
21180,18.09,85.4,18.09,74.1,1,0,0
