t_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,M1_open,M2_open,M3_open
38340,29.61,54.6,27.42,56.0,0,1,0
38400,28.70,55.0,27.57,55.7,1,1,0
38460,28.86,54.6,27.72,55.3,1,1,0
38520,29.01,54.2,27.87,54.9,1,1,0
38580,29.17,53.8,28.02,54.6,1,1,0
38640,29.32,53.5,28.17,54.2,1,1,0
38700,29.48,53.1,28.32,53.8,1,1,0
38760,29.63,52.7,28.47,53.5,1,1,0
38820,29.79,52.3,28.62,53.1,1,1,0
38880,29.94,51.9,28.77,52.7,1,1,0
38940,30.09,51.6,28.92,52.4,1,1,0
39000,30.25,51.2,29.07,52.0,1,1,0
39060,30.40,50.8,29.22,51.6,1,1,0
39120,29.72,51.0,29.37,51.3,1,1,1
39180,29.87,50.7,29.52,50.9,1,1,1
39240,30.02,50.3,29.67,50.5,1,1,1
39300,30.17,49.9,29.82,50.2,1,1,1
39360,30.32,49.6,29.97,49.8,1,1,1
39420,30.47,49.2,30.12,49.4,1,1,1
39480,30.62,48.8,30.27,49.1,1,1,1
39540,30.77,48.5,30.42,48.7,1,1,1
39600,30.82,48.3,30.46,48.6,1,1,1
39660,30.74,48.5,30.38,48.7,1,1,1
39720,30.66,48.6,30.30,48.9,1,1,1
39780,30.58,48.8,30.22,49.1,1,1,1
39840,30.51,49.0,30.14,49.2,1,1,1
39900,30.43,49.1,30.06,49.4,1,1,1
39960,30.35,49.3,29.98,49.6,1,1,1
40020,30.27,49.4,29.90,49.7,1,1,1
40080,30.19,49.6,29.82,49.9,1,1,1
40140,30.11,49.8,29.74,50.0,1,1,1
40200,30.03,49.9,29.66,50.2,1,1,1
40260,29.95,50.1,29.58,50.4,1,1,1
40320,29.88,50.2,29.50,50.5,1,1,1
40380,29.80,50.4,29.42,50.7,1,1,1
40440,30.63,49.8,29.34,50.9,1,1,0
40500,30.55,49.9,29.26,51.0,1,1,0
40560,30.47,50.1,29.18,51.2,1,1,0
40620,30.40,50.2,29.10,51.4,1,1,0
40680,30.32,50.4,29.02,51.5,1,1,0
40740,30.24,50.5,28.94,51.7,1,1,0
40800,30.17,50.7,28.86,51.8,1,1,0
40860,30.09,50.8,28.78,52.0,1,1,0
40920,30.02,51.0,28.70,52.2,1,1,0
40980,29.94,51.1,28.62,52.3,1,1,0
41040,29.86,51.3,28.54,52.5,1,1,0
41100,29.79,51.5,28.46,52.7,1,1,0
41160,29.71,51.6,28.38,52.8,1,1,0
41220,29.63,51.8,28.30,53.0,1,1,0
41280,29.56,51.9,28.22,53.2,1,1,0
41340,29.48,52.1,28.14,53.3,1,1,0
41400,29.42,52.2,28.07,53.5,1,1,0
41460,29.37,52.4,28.02,53.6,1,1,0
41520,29.32,52.5,27.97,53.8,1,1,0
41580,29.27,52.7,27.91,54.0,1,1,0
41640,29.22,52.8,27.86,54.1,1,1,0
41700,29.17,52.9,27.81,54.3,1,1,0
41760,29.12,53.1,27.75,54.5,1,1,0
41820,29.07,53.2,27.70,54.6,1,1,0
41880,29.02,53.4,27.65,54.8,1,1,0
41940,28.97,53.5,27.59,55.0,1,1,0
42000,28.92,53.7,27.54,55.1,1,1,0
42060,28.87,53.8,27.49,55.3,1,1,0
42120,28.82,54.0,27.43,55.4,1,1,0
42180,28.77,54.1,27.38,55.6,1,1,0
42240,28.72,54.3,27.33,55.8,1,1,0
42300,28.67,54.4,27.27,55.9,1,1,0
42360,28.61,54.6,27.22,56.1,1,1,0
42420,28.56,54.7,27.17,56.3,1,1,0
42480,28.51,54.9,27.11,56.4,1,1,0
42540,28.46,55.0,27.06,56.6,1,1,0
42600,28.41,55.2,27.01,56.7,1,1,0
42660,28.36,55.3,26.95,56.9,1,1,0
42720,28.31,55.5,26.90,57.1,1,1,0
42780,28.26,55.6,26.85,57.2,1,1,0
42840,28.21,55.8,26.79,57.4,1,1,0
42900,28.16,55.9,26.74,57.6,1,1,0
42960,28.11,56.1,26.69,57.7,1,1,0
43020,28.06,56.2,26.63,57.9,1,1,0
43080,28.01,56.4,26.58,58.1,1,1,0
43140,27.96,56.5,26.53,58.2,1,1,0
43200,29.35,54.8,26.57,58.2,0,1,0
43260,29.48,54.5,26.70,57.9,0,1,0
43320,29.62,54.3,26.83,57.7,0,1,0
43380,29.75,54.0,26.96,57.4,0,1,0
43440,29.89,53.7,27.09,57.2,0,1,0
43500,30.02,53.5,27.22,56.9,0,1,0
43560,30.16,53.2,27.35,56.6,0,1,0
43620,30.29,52.9,27.48,56.4,0,1,0
43680,28.10,55.6,27.61,56.1,0,1,1
43740,28.23,55.3,27.74,55.9,0,1,1
43800,28.36,55.0,27.87,55.6,0,1,1
43860,28.42,54.9,28.00,55.4,1,1,1
43920,28.55,54.6,28.13,55.1,1,1,1
43980,28.68,54.4,28.26,54.9,1,1,1
44040,28.81,54.1,28.39,54.6,1,1,1
44100,28.95,53.9,28.52,54.4,1,1,1
44160,29.08,53.6,28.65,54.1,1,1,1
44220,29.21,53.3,28.78,53.9,1,1,1
44280,29.34,53.1,28.91,53.6,1,1,1
44340,29.47,52.8,29.04,53.4,1,1,1
44400,29.60,52.6,29.17,53.1,1,1,1
44460,30.77,51.0,29.30,52.8,1,1,0
44520,30.90,50.8,29.43,52.6,1,1,0
44580,31.04,50.5,29.56,52.3,1,1,0
44640,31.17,50.3,29.69,52.1,1,1,0
44700,31.30,50.0,29.82,51.8,1,1,0
44760,31.43,49.8,29.95,51.6,1,1,0
44820,31.56,49.5,30.08,51.3,1,1,0
44880,31.69,49.3,30.21,51.1,1,1,0
44940,31.82,49.0,30.34,50.8,1,1,0
45000,31.91,48.9,30.42,50.7,1,1,0
45060,31.95,48.8,30.46,50.6,1,1,0
45120,31.99,48.7,30.50,50.6,1,1,0
45180,32.03,48.7,30.54,50.5,1,1,0
45240,31.02,49.9,30.58,50.4,1,1,1
45300,31.06,49.9,30.62,50.4,1,1,1
45360,31.10,49.8,30.66,50.3,1,1,1
45420,31.14,49.7,30.70,50.3,1,1,1
45480,31.18,49.7,30.74,50.2,1,1,1
45540,31.22,49.6,30.78,50.2,1,1,1
45600,31.26,49.6,30.82,50.1,1,1,1
45660,31.30,49.5,30.86,50.0,1,1,1
45720,31.34,49.5,30.90,50.0,1,1,1
45780,31.38,49.4,30.94,49.9,1,1,1
45840,31.42,49.3,30.98,49.9,1,1,1
45900,31.46,49.3,31.02,49.8,1,1,1
45960,31.50,49.2,31.06,49.8,1,1,1
46020,31.54,49.2,31.10,49.7,1,1,1
46080,31.58,49.1,31.14,49.7,1,1,1
46140,31.62,49.1,31.18,49.6,1,1,1
46200,31.66,49.0,31.22,49.5,1,1,1
46260,31.70,48.9,31.26,49.5,1,1,1
46320,31.74,48.9,31.30,49.4,1,1,1
46380,31.78,48.8,31.34,49.4,1,1,1
46440,31.82,48.8,31.38,49.3,1,1,1
46500,31.86,48.7,31.42,49.3,1,1,1
46560,31.90,48.7,31.46,49.2,1,1,1
46620,31.94,48.6,31.50,49.1,1,1,1
