t_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,M1_open,M2_open,M3_open
6660,10.27,95.7,10.27,92.8,1,1,1
6720,10.28,95.7,10.28,92.9,1,1,1
6780,10.28,95.7,10.28,92.9,1,1,1
6840,10.28,95.7,10.28,92.9,1,1,1
6900,10.29,95.7,10.29,92.9,1,1,1
6960,10.29,95.7,10.29,92.9,1,1,1
7020,10.29,95.7,10.29,92.9,1,1,1
7080,10.30,95.7,10.30,92.9,1,1,1
7140,10.30,95.7,10.30,92.9,1,1,1
7200,10.28,95.8,10.28,92.9,1,1,1
7260,10.26,95.8,10.26,92.9,1,1,1
7320,10.25,95.8,10.25,92.9,1,1,1
7380,10.23,95.8,10.23,92.9,1,1,1
7440,10.21,95.8,10.21,93.0,1,1,1
7500,10.20,95.8,10.20,93.0,1,1,1
7560,10.18,95.8,10.18,93.0,1,1,1
7620,10.16,95.8,10.16,93.0,1,1,1
7680,10.15,95.9,10.15,93.0,1,1,1
7740,10.13,95.9,10.13,93.0,1,1,1
7800,10.11,95.9,10.11,93.0,1,1,1
7860,10.10,95.9,10.10,93.0,1,1,1
7920,10.08,95.9,10.08,93.0,1,1,1
7980,10.06,95.9,10.06,93.0,1,1,1
8040,10.05,95.9,10.05,93.1,1,1,1
8100,10.03,96.0,10.03,93.1,1,1,1
8160,10.01,96.0,10.01,93.1,1,1,1
8220,10.00,96.0,10.00,93.1,1,1,1
8280,9.98,96.0,9.98,93.1,1,1,1
8340,9.96,96.0,9.96,93.1,1,1,1
8400,9.95,96.0,9.95,93.1,1,1,1
8460,9.93,96.0,9.93,93.1,1,1,1
8520,9.91,96.0,9.91,93.1,1,1,1
8580,9.90,96.1,9.90,93.1,1,1,1
8640,9.88,96.1,9.88,93.2,1,1,1
8700,9.86,96.1,9.86,93.2,1,1,1
8760,9.85,96.1,9.85,93.2,1,1,1
8820,9.83,96.1,9.83,93.2,1,1,1
8880,9.81,96.1,9.81,93.2,1,1,1
8940,9.80,96.1,9.80,93.2,1,1,1
9000,9.80,96.1,9.80,93.2,1,1,1
9060,9.80,96.2,9.80,93.2,1,1,1
9120,9.80,96.2,9.80,93.2,1,1,1
9180,9.80,96.2,9.80,93.2,1,1,1
9240,9.80,96.2,9.80,93.2,1,1,1
9300,9.80,96.2,9.80,93.2,1,1,1
9360,9.80,96.2,9.80,93.2,1,1,1
9420,9.80,96.2,9.80,93.3,1,1,1
9480,9.80,96.2,9.80,93.3,1,1,1
9540,9.80,96.2,9.80,93.3,1,1,1
