t_s,T_in_C,RH_in_pct
29220,28.64,53.8
29280,28.69,53.6
29340,28.73,53.3
29400,28.77,53.1
29460,28.82,52.9
29520,28.86,52.7
29580,28.91,52.4
29640,28.95,52.2
29700,29.00,52.0
29760,29.04,51.7
29820,29.09,51.5
29880,29.13,51.3
29940,29.18,51.0
30000,29.22,50.8
30060,29.27,50.6
30120,29.31,50.4
30180,29.36,50.1
30240,29.40,49.9
30300,29.45,49.7
30360,29.49,49.4
30420,29.54,49.2
30480,29.58,49.0
30540,29.62,48.8
30600,29.63,48.9
30660,29.63,48.9
30720,29.64,49.0
30780,29.64,49.1
30840,29.65,49.1
30900,29.65,49.2
30960,29.66,49.2
31020,29.66,49.3
31080,29.67,49.4
31140,29.67,49.4
31200,29.68,49.5
31260,29.68,49.6
31320,29.69,49.6
31380,29.69,49.7
31440,29.70,49.8
31500,29.70,49.8
31560,29.71,49.9
31620,29.72,50.0
31680,29.72,50.0
31740,29.73,50.1
31800,29.73,50.2
31860,29.74,50.2
31920,29.74,50.3
31980,29.75,50.4
32040,29.75,50.4
32100,29.76,50.5
32160,29.76,50.5
32220,29.77,50.6
32280,29.78,50.7
32340,29.78,50.7
32400,29.82,50.6
32460,29.86,50.5
32520,29.89,50.4
32580,29.93,50.3
32640,29.96,50.2
32700,30.00,50.1
32760,30.03,50.0
32820,30.07,49.8
32880,30.10,49.7
32940,29.69,49.0
33000,29.72,48.9
33060,29.75,48.8
33120,29.78,48.7
33180,29.82,48.6
33240,29.85,48.5
33300,29.88,48.4
33360,29.91,48.3
33420,29.94,48.2
33480,29.97,48.1
33540,30.01,48.0
33600,30.04,47.9
33660,30.07,47.8
33720,30.10,47.7
33780,30.13,47.6
33840,30.16,47.6
33900,30.20,47.5
33960,30.23,47.4
34020,30.26,47.3
34080,30.29,47.2
34140,30.32,47.1
34200,30.32,47.1
34260,30.32,47.1
34320,30.32,47.1
34380,30.33,47.2
34440,30.33,47.2
34500,30.33,47.2
34560,30.33,47.2
34620,30.33,47.2
34680,30.33,47.3
34740,30.33,47.3
34800,30.34,47.3
34860,30.34,47.3
34920,30.34,47.3
34980,30.34,47.3
35040,30.34,47.4
35100,30.34,47.4
35160,30.35,47.4
35220,30.35,47.4
35280,30.35,47.4
35340,30.35,47.5
35400,30.35,47.5
35460,30.35,47.5
35520,30.36,47.5
35580,30.36,47.5
35640,30.36,47.6
35700,30.36,47.6
35760,30.36,47.6
35820,30.36,47.6
35880,30.37,47.6
35940,30.37,47.6
36000,30.41,47.5
36060,30.44,47.4
36120,30.48,47.3
36180,30.51,47.1
36240,30.55,47.0
36300,30.58,46.9
36360,30.62,46.8
36420,30.65,46.6
36480,30.69,46.5
36540,30.72,46.4
36600,30.76,46.3
36660,30.79,46.1
36720,30.83,46.0
36780,30.86,45.9
36840,30.90,45.8
36900,30.93,45.6
36960,30.97,45.5
37020,31.00,45.4
37080,31.04,45.3
37140,31.07,45.1
37200,31.11,45.0
37260,31.14,44.9
37320,31.18,44.8
37380,31.21,44.7
37440,31.24,44.5
37500,31.28,44.4
37560,31.31,44.3
37620,31.35,44.2
37680,31.38,44.0
37740,31.42,44.0
37800,31.44,44.1
37860,31.47,44.2
37920,31.49,44.4
37980,31.52,44.5
38040,31.54,44.6
38100,31.57,44.8
38160,31.59,44.9
38220,31.62,45.0
38280,31.64,45.2
38340,31.67,45.3
38400,31.69,45.4
38460,31.71,45.6
38520,31.74,45.7
38580,31.76,45.9
38640,31.79,46.0
38700,31.81,46.1
38760,31.84,46.3
38820,31.86,46.4
38880,31.89,46.5
38940,31.91,46.7
39000,31.94,46.8
39060,31.96,46.9
39120,31.99,47.1
39180,32.01,47.2
39240,32.04,47.3
39300,32.06,47.5
39360,32.09,47.6
39420,32.11,47.8
39480,32.13,47.9
39540,32.16,48.0
39600,32.18,47.9
39660,32.20,47.9
39720,32.22,47.8
39780,32.24,47.8
39840,32.26,47.7
39900,32.28,47.6
39960,32.30,47.6
40020,32.32,47.5
40080,32.33,47.4
40140,32.35,47.4
40200,32.37,47.3
40260,32.39,47.3
40320,32.41,47.2
40380,32.43,47.1
40440,32.45,47.1
40500,32.47,47.0
40560,32.49,47.0
40620,32.51,46.9
40680,32.53,46.8
40740,32.55,46.8
40800,32.57,46.7
40860,32.59,46.7
40920,32.61,46.6
40980,32.63,46.5
41040,32.65,46.5
41100,32.67,46.4
41160,32.69,46.4
41220,32.70,46.3
41280,32.72,46.2
41340,32.74,46.2
41400,32.76,46.1
41460,32.78,46.0
41520,32.80,46.0
41580,32.82,45.9
41640,32.84,45.9
41700,32.86,45.8
41760,32.88,45.7
41820,32.90,45.7
41880,32.92,45.6
41940,32.94,45.6
42000,32.96,45.5
42060,32.98,45.4
42120,32.99,45.4
42180,33.01,45.3
42240,33.03,45.3
42300,33.05,45.2
42360,33.07,45.1
42420,33.09,45.1
42480,33.11,45.0
42540,33.13,45.0
42600,33.15,44.9
42660,33.17,44.8
42720,33.19,44.8
42780,33.21,44.7
42840,33.22,44.7
42900,33.24,44.6
42960,33.26,44.5
43020,33.28,44.5
43080,33.30,44.4
43140,33.32,44.4
43200,33.33,44.3
43260,33.34,44.1
43320,33.35,44.0
43380,33.36,43.9
43440,33.37,43.8
43500,33.38,43.7
43560,33.39,43.6
43620,33.40,43.5
43680,33.41,43.4
43740,33.43,43.2
43800,33.44,43.1
43860,33.45,43.0
43920,33.46,42.9
43980,33.47,42.8
44040,33.48,42.7
44100,33.49,42.6
44160,33.50,42.5
44220,33.51,42.3
44280,33.52,42.2
44340,33.53,42.1
44400,33.54,42.0
44460,33.55,41.9
44520,33.56,41.8
44580,33.57,41.7
44640,33.58,41.6
44700,33.59,41.5
44760,33.60,41.3
44820,33.61,41.2
44880,33.62,41.1
44940,33.63,41.0
45000,33.61,41.0
45060,33.58,40.9
45120,33.55,40.9
45180,33.53,40.8
45240,33.50,40.8
45300,33.47,40.7
45360,33.45,40.7
45420,33.42,40.6
45480,33.40,40.6
45540,33.37,40.5
45600,33.34,40.5
45660,33.32,40.4
45720,33.29,40.4
45780,33.26,40.3
45840,33.24,40.3
45900,33.21,40.2
45960,33.18,40.2
46020,33.16,40.1
46080,33.13,40.1
46140,33.10,40.0
46200,33.08,40.0
46260,33.05,39.9
46320,33.02,39.9
46380,33.00,39.8
46440,32.97,39.8
46500,32.94,39.7
46560,32.92,39.7
46620,32.89,39.7
46680,32.86,39.6
46740,32.84,39.6
46800,32.86,39.5
46860,32.88,39.4
46920,32.89,39.3
46980,32.91,39.3
47040,32.93,39.2
47100,32.94,39.1
47160,32.96,39.1
47220,32.98,39.0
47280,32.99,38.9
47340,33.01,38.9
47400,33.03,38.8
47460,33.04,38.7
47520,33.06,38.7
47580,33.08,38.6
47640,33.09,38.5
47700,33.11,38.5
47760,33.12,38.4
47820,33.14,38.3
47880,33.16,38.2
47940,33.17,38.2
48000,33.19,38.1
48060,33.21,38.0
48120,33.22,38.0
48180,33.24,37.9
48240,33.26,37.8
48300,33.27,37.8
48360,33.29,37.7
48420,33.30,37.6
48480,33.32,37.6
48540,33.34,37.5
48600,33.33,37.5
48660,33.33,37.4
48720,33.33,37.3
48780,33.33,37.3
48840,33.33,37.2
48900,33.33,37.2
48960,33.33,37.1
49020,33.33,37.1
49080,33.33,37.0
49140,33.33,37.0
49200,33.33,36.9
49260,33.33,36.9
49320,33.33,36.8
49380,33.33,36.8
49440,33.33,36.7
49500,33.33,36.7
49560,33.33,36.6
49620,33.33,36.6
49680,33.33,36.5
49740,33.33,36.5
49800,33.33,36.4
49860,33.32,36.4
49920,33.32,36.3
49980,33.32,36.3
50040,33.32,36.2
50100,33.32,36.2
50160,33.32,36.1
50220,33.32,36.1
50280,33.32,36.0
50340,33.32,36.0
50400,33.33,36.1
50460,33.33,36.3
50520,33.34,36.4
50580,33.34,36.5
50640,33.35,36.7
50700,33.36,36.8
50760,33.36,36.9
50820,33.37,37.1
50880,33.37,37.2
50940,33.38,37.4
51000,33.39,37.5
51060,33.39,37.6
51120,33.40,37.8
51180,33.40,37.9
