t_s,T_in_C,RH_in_pct
17040,18.12,88.9
17100,18.28,92.4
17160,18.43,91.9
17220,18.58,91.3
17280,18.74,90.7
17340,18.89,90.2
17400,19.05,89.6
17460,19.20,89.0
17520,19.35,88.4
17580,19.51,87.9
17640,19.66,87.3
17700,19.81,86.7
17760,19.97,86.2
17820,20.12,85.6
17880,20.27,85.0
17940,20.43,84.5
18000,20.53,88.8
18060,20.58,88.6
18120,20.63,88.4
18180,20.68,88.2
18240,20.73,88.0
18300,20.78,87.8
18360,20.83,87.6
18420,20.88,87.4
18480,20.93,87.2
18540,20.98,87.0
18600,21.03,86.8
18660,21.08,82.0
18720,21.13,81.8
18780,21.18,81.6
18840,21.23,81.5
18900,21.28,81.3
18960,21.33,81.1
19020,21.38,80.9
19080,21.43,80.7
19140,21.48,80.5
19200,21.53,80.3
19260,21.58,80.1
19320,21.63,84.3
19380,21.68,84.1
19440,21.73,83.9
19500,21.78,83.7
19560,21.83,83.5
19620,21.88,83.3
19680,21.93,83.1
19740,21.98,82.9
19800,21.99,82.8
19860,21.97,82.8
19920,21.95,82.8
19980,21.93,82.7
20040,21.91,82.7
20100,21.89,82.7
20160,21.87,82.7
20220,21.85,82.7
20280,21.83,82.6
20340,21.81,82.6
20400,21.79,82.6
20460,21.77,82.6
20520,21.75,82.5
20580,21.73,82.5
20640,21.71,82.5
20700,21.69,82.5
20760,21.67,82.5
20820,21.65,82.4
20880,21.63,82.4
20940,21.61,82.4
21000,21.59,82.4
21060,21.57,82.3
21120,21.55,82.3
21180,21.53,82.3
21240,21.51,82.3
21300,21.49,82.3
21360,21.47,82.2
21420,21.45,82.2
21480,21.43,82.2
21540,21.41,82.2
21600,21.42,82.1
21660,21.45,77.6
21720,21.48,77.5
21780,21.52,74.1
21840,21.55,74.0
21900,21.58,73.9
21960,21.62,73.8
22020,21.65,73.7
22080,21.68,73.6
22140,21.72,73.5
22200,21.75,73.4
22260,21.78,73.3
22320,21.82,73.5
22380,21.85,73.4
22440,21.89,73.3
22500,21.92,73.2
22560,21.96,80.4
22620,22.00,80.3
22680,22.03,80.1
22740,22.07,80.0
22800,22.10,79.9
22860,22.14,79.8
22920,22.17,79.7
22980,22.20,75.4
23040,22.23,75.3
23100,22.26,75.2
23160,22.30,75.1
23220,22.33,75.0
23280,22.37,74.9
23340,22.40,74.8
23400,22.49,74.5
23460,22.63,74.1
23520,22.77,73.6
23580,22.92,73.2
