t_s,T_in_C,RH_in_pct
39240,30.83,45.4
39300,30.87,45.4
39360,30.90,45.4
39420,30.94,45.4
39480,30.98,45.4
39540,31.02,45.4
39600,31.05,45.4
39660,31.07,45.3
39720,31.09,45.2
39780,31.11,45.0
39840,31.13,44.9
39900,31.15,44.8
39960,31.16,44.7
40020,31.18,44.5
40080,31.20,44.4
40140,31.22,44.3
40200,31.23,44.2
40260,31.25,44.0
40320,31.27,43.9
40380,31.29,43.8
40440,31.31,43.7
40500,31.32,43.5
40560,31.34,43.4
40620,31.36,43.3
40680,31.38,43.2
40740,31.40,43.1
40800,31.41,42.9
40860,31.43,42.8
40920,31.45,42.7
40980,31.47,42.6
41040,31.48,42.4
41100,31.50,42.3
41160,31.52,42.2
41220,31.54,42.1
41280,31.55,41.9
41340,31.57,41.8
41400,31.59,41.7
41460,31.58,41.7
41520,31.57,41.7
41580,31.56,41.8
41640,31.54,41.8
41700,31.53,41.8
41760,31.52,41.8
41820,31.51,41.9
41880,31.50,41.9
41940,31.48,41.9
42000,31.47,41.9
42060,31.46,42.0
42120,31.45,42.0
42180,31.43,42.0
42240,31.42,42.1
42300,31.41,42.1
42360,31.40,42.1
42420,31.38,42.1
42480,31.37,42.2
42540,31.36,42.2
42600,31.35,42.2
42660,31.33,42.2
42720,31.32,42.3
42780,31.31,42.3
42840,31.30,42.3
42900,31.28,42.4
42960,31.27,42.4
43020,31.26,42.4
43080,31.24,42.4
43140,31.23,42.5
43200,31.22,42.5
43260,31.31,42.2
43320,31.41,41.9
43380,31.51,41.6
43440,31.61,41.3
43500,31.71,41.0
43560,31.82,40.8
43620,31.92,40.5
43680,32.02,40.2
43740,32.12,39.9
43800,32.22,39.6
43860,32.32,39.3
43920,32.42,39.0
43980,32.52,38.7
44040,32.62,38.4
44100,32.72,38.1
44160,32.82,37.8
44220,32.93,37.5
44280,33.03,37.2
44340,33.13,36.9
44400,33.23,36.6
44460,33.33,36.3
44520,33.43,36.0
44580,33.53,35.7
44640,33.63,35.4
44700,33.73,35.1
44760,33.83,34.9
44820,33.93,34.6
